study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
gzaZ5KmpHdRP,63,0,BulletMiss,P2,P2Enemy,34,6.57,-1,None,None,True
gzaZ5KmpHdRP,63,0,BulletMiss,P1,P1Enemy,34,6.57,-1,None,None,True
gzaZ5KmpHdRP,70,0,BulletMiss,P1,P1Enemy,35,6.57,-1,None,None,True
gzaZ5KmpHdRP,70,1,EnemyKill,P2,P2Enemy,35,6.57,-1,None,None,True
gzaZ5KmpHdRP,70,1,Displacement,P2,P1,35,7.52,2.02,Farther,Away,True
gzaZ5KmpHdRP,70,1,EnemyHit,P1,P1Enemy,35,8.61,-1,None,None,True
gzaZ5KmpHdRP,70,1,BulletMiss,P1,P1Enemy,35,7.52,-1,None,None,True
gzaZ5KmpHdRP,70,1,EnemyHit,P1,P1Enemy,36,8.61,-1,None,None,True
gzaZ5KmpHdRP,70,1,EnemyHit,P1,P1Enemy,36,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P2,P2Enemy,37,7.52,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P2,P2Enemy,38,7.52,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P2,P2Enemy,38,7.52,-1,None,None,True
gzaZ5KmpHdRP,76,1,EnemyKill,P1,P1Enemy,38,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,1,Displacement,P2,P1,38,9.52,2.01,Farther,Away,True
gzaZ5KmpHdRP,76,1,EnemyHit,P1,P1Enemy,38,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,1,BulletMiss,P1,P1Enemy,38,9.52,-1,None,None,True
gzaZ5KmpHdRP,76,1,EnemyHit,P2,P2Enemy,39,9.52,-1,None,None,True
gzaZ5KmpHdRP,76,1,BulletMiss,P2,P2Enemy,39,9.52,-1,None,None,True
gzaZ5KmpHdRP,76,2,EnemyKill,P1,P1Enemy,39,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,2,BulletMiss,P2,P2Enemy,39,9.52,-1,None,None,True
gzaZ5KmpHdRP,88,2,EnemyHit,P1,P1Enemy,40,8.61,-1,None,None,True
gzaZ5KmpHdRP,88,2,BulletMiss,P1,P1Enemy,41,9.52,-1,None,None,True
gzaZ5KmpHdRP,100,0,EnemyHit,P2,P2Enemy,41,9.52,-1,None,None,True
gzaZ5KmpHdRP,100,1,EnemyKill,P1,P1Enemy,41,8.61,-1,None,None,True
gzaZ5KmpHdRP,100,1,BulletMiss,P2,P2Enemy,41,9.52,-1,None,None,True
gzaZ5KmpHdRP,100,2,EnemyKill,P2,P2Enemy,42,9.52,-1,None,None,True
gzaZ5KmpHdRP,100,2,EnemyHit,P2,P2Enemy,42,9.52,-1,None,None,True
gzaZ5KmpHdRP,100,2,BulletMiss,P2,P2Enemy,42,9.52,-1,None,None,True
gzaZ5KmpHdRP,80,0,GettingHit,P2Enemy,P2,43,9.52,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P1,P1Enemy,43,9.52,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyHit,P1,P1Enemy,43,8.61,-1,None,None,True
gzaZ5KmpHdRP,80,0,Displacement,P2,P1,43,11.48,3.64,Farther,Sideways,True
gzaZ5KmpHdRP,80,0,BulletMiss,P2,P2Enemy,44,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P1,P1Enemy,44,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P2,P2Enemy,44,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyHit,P1,P1Enemy,44,8.61,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P1,P1Enemy,44,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P2,P2Enemy,45,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P2,P2Enemy,45,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,SecondaryAttack,P2,P2Enemy,45,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyKill,P2,P2Enemy,45,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyHit,P2,P2Enemy,46,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyHit,P2,P2Enemy,46,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyHit,P1,P1Enemy,46,8.61,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P1,P1Enemy,46,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,Nerf,P2,P2Enemy,46,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,BulletMiss,P1,P1Enemy,47,11.48,-1,None,None,True
gzaZ5KmpHdRP,80,0,EnemyHit,P1,P1Enemy,47,8.61,-1,None,None,True
gzaZ5KmpHdRP,86,0,BulletMiss,P2,P2Enemy,47,11.48,-1,None,None,True
gzaZ5KmpHdRP,86,0,EnemyHit,P2,P2Enemy,48,11.48,-1,None,None,True
gzaZ5KmpHdRP,86,0,EnemyHit,P2,P2Enemy,48,11.48,-1,None,None,True
gzaZ5KmpHdRP,86,0,EnemyHit,P2,P2Enemy,48,11.48,-1,None,None,True
gzaZ5KmpHdRP,86,0,BulletMiss,P1,P1Enemy,48,11.48,-1,None,None,True
gzaZ5KmpHdRP,86,1,EnemyKill,P1,P1Enemy,49,8.61,-1,None,None,True
gzaZ5KmpHdRP,86,1,SecondaryAttack,P1,P1Enemy,49,8.61,-1,None,None,True
gzaZ5KmpHdRP,86,1,EnemyHit,P1,P1Enemy,49,8.61,-1,None,None,True
gzaZ5KmpHdRP,86,1,BulletMiss,P1,P1Enemy,49,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,GettingHit,P2Enemy,P2,49,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyKill,P2,P2Enemy,50,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P2,P2Enemy,50,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyKill,P2,P2Enemy,50,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P1,P1Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,SecondaryAttack,P2,P2Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P2,P2Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P2,P2Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyKill,P2,P2Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P2,P2Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P2,P2Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P1,P1Enemy,51,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P1,P1Enemy,51,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P1,P1Enemy,51,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,EnemyHit,P1,P1Enemy,51,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,0,Nerf,P1,P1Enemy,52,8.61,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P2,P2Enemy,52,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P1,P1Enemy,52,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,0,BulletMiss,P1,P1Enemy,52,11.48,-1,None,None,True
gzaZ5KmpHdRP,76,1,EnemyKill,P2,P2Enemy,52,11.48,-1,None,None,True
gzaZ5KmpHdRP,69,0,GettingHit,P1Enemy,P1,53,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyKill,P2,P2Enemy,53,11.48,-1,None,None,True
gzaZ5KmpHdRP,69,0,BulletMiss,P2,P2Enemy,53,11.48,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyHit,P1,P1Enemy,53,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyHit,P1,P1Enemy,53,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,Displacement,P2,P1,53,10.26,2.01,Closer,Sideways,True
gzaZ5KmpHdRP,69,0,BulletMiss,P2,P2Enemy,53,10.26,-1,None,None,True
gzaZ5KmpHdRP,69,0,BulletMiss,P1,P1Enemy,54,10.26,-1,None,None,True
gzaZ5KmpHdRP,69,0,BulletMiss,P2,P2Enemy,54,10.26,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyKill,P1,P1Enemy,54,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,BulletMiss,P1,P1Enemy,54,10.26,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyHit,P2,P2Enemy,54,10.26,-1,None,None,True
gzaZ5KmpHdRP,69,0,SecondaryAttack,P1,P1Enemy,54,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyHit,P1,P1Enemy,54,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyKill,P1,P1Enemy,54,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyKill,P1,P1Enemy,54,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyHit,P1,P1Enemy,55,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyKill,P1,P1Enemy,55,8.61,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyKill,P2,P2Enemy,55,10.26,-1,None,None,True
gzaZ5KmpHdRP,69,0,EnemyHit,P2,P2Enemy,55,10.26,-1,None,None,True
gzaZ5KmpHdRP,81,1,EnemyKill,P2,P2Enemy,57,10.26,-1,None,None,True
gzaZ5KmpHdRP,81,1,Displacement,P2,P1,57,11.65,2,Farther,Sideways,True
gzaZ5KmpHdRP,83,1,BulletMiss,P2,P2Enemy,57,11.65,-1,None,None,True
gzaZ5KmpHdRP,83,1,BulletMiss,P1,P1Enemy,57,11.65,-1,None,None,True
gzaZ5KmpHdRP,84,1,EnemyHit,P1,P1Enemy,57,8.61,-1,None,None,True
gzaZ5KmpHdRP,84,1,EnemyHit,P2,P2Enemy,58,11.65,-1,None,None,True
gzaZ5KmpHdRP,84,1,BulletMiss,P2,P2Enemy,58,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,GettingHit,P1Enemy,P1,58,8.61,-1,None,None,True
gzaZ5KmpHdRP,74,0,SecondaryAttack,P2,P2Enemy,58,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyKill,P2,P2Enemy,58,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyKill,P1,P1Enemy,58,8.61,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyHit,P2,P2Enemy,58,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyHit,P1,P1Enemy,58,8.61,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyHit,P2,P2Enemy,58,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyHit,P2,P2Enemy,59,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyKill,P1,P1Enemy,60,8.61,-1,None,None,True
gzaZ5KmpHdRP,74,0,BulletMiss,P2,P2Enemy,60,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,BulletMiss,P1,P1Enemy,60,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,EnemyHit,P1,P1Enemy,60,8.61,-1,None,None,True
gzaZ5KmpHdRP,74,0,BulletMiss,P1,P1Enemy,61,11.65,-1,None,None,True
gzaZ5KmpHdRP,74,0,SecondaryAttack,P1,P1Enemy,61,8.61,-1,None,None,True
gzaZ5KmpHdRP,77,1,EnemyKill,P1,P1Enemy,62,8.61,-1,None,None,True
gzaZ5KmpHdRP,77,2,EnemyKill,P1,P1Enemy,62,8.61,-1,None,None,True
gzaZ5KmpHdRP,77,2,BulletMiss,P2,P2Enemy,62,11.65,-1,None,None,True
gzaZ5KmpHdRP,77,3,EnemyKill,P2,P2Enemy,62,11.65,-1,None,None,True
gzaZ5KmpHdRP,77,3,EnemyHit,P2,P2Enemy,63,11.65,-1,None,None,True
gzaZ5KmpHdRP,77,3,BulletMiss,P1,P1Enemy,63,11.65,-1,None,None,True
gzaZ5KmpHdRP,77,3,EnemyHit,P1,P1Enemy,63,8.61,-1,None,None,True
gzaZ5KmpHdRP,95,4,EnemyKill,P2,P2Enemy,64,11.65,-1,None,None,True
gzaZ5KmpHdRP,95,4,BulletMiss,P2,P2Enemy,64,11.65,-1,None,None,True
gzaZ5KmpHdRP,95,4,EnemyHit,P1,P1Enemy,64,8.61,-1,None,None,True
gzaZ5KmpHdRP,95,4,EnemyHit,P2,P2Enemy,64,11.65,-1,None,None,True
gzaZ5KmpHdRP,107,4,BulletMiss,P2,P2Enemy,64,11.65,-1,None,None,True
gzaZ5KmpHdRP,107,4,BulletMiss,P1,P1Enemy,64,11.65,-1,None,None,True
gzaZ5KmpHdRP,107,5,EnemyKill,P1,P1Enemy,65,8.61,-1,None,None,True
gzaZ5KmpHdRP,107,5,BulletMiss,P2,P2Enemy,65,11.65,-1,None,None,True
gzaZ5KmpHdRP,107,5,EnemyHit,P2,P2Enemy,65,11.65,-1,None,None,True
gzaZ5KmpHdRP,137,5,BulletMiss,P2,P2Enemy,66,11.65,-1,None,None,True
gzaZ5KmpHdRP,137,5,EnemyHit,P1,P1Enemy,66,8.61,-1,None,None,True
gzaZ5KmpHdRP,137,5,BulletMiss,P2,P2Enemy,66,11.65,-1,None,None,True
gzaZ5KmpHdRP,137,6,EnemyKill,P2,P2Enemy,66,11.65,-1,None,None,True
gzaZ5KmpHdRP,173,6,BulletMiss,P1,P1Enemy,67,11.65,-1,None,None,True
gzaZ5KmpHdRP,173,6,EnemyHit,P1,P1Enemy,67,8.61,-1,None,None,True
gzaZ5KmpHdRP,173,7,EnemyKill,P2,P2Enemy,67,11.65,-1,None,None,True
gzaZ5KmpHdRP,173,8,EnemyKill,P1,P1Enemy,68,8.61,-1,None,None,True
gzaZ5KmpHdRP,173,8,Nerf,P1,P1Enemy,68,8.61,-1,None,None,True
gzaZ5KmpHdRP,221,8,BulletMiss,P2,P2Enemy,68,11.65,-1,None,None,True
gzaZ5KmpHdRP,141,0,GettingHit,P2Enemy,P2,68,11.65,-1,None,None,True
gzaZ5KmpHdRP,131,0,GettingHit,P1Enemy,P1,69,8.61,-1,None,None,True
gzaZ5KmpHdRP,131,0,EnemyHit,P2,P2Enemy,69,11.65,-1,None,None,True
gzaZ5KmpHdRP,131,0,EnemyHit,P1,P1Enemy,69,8.61,-1,None,None,True
gzaZ5KmpHdRP,131,0,EnemyHit,P2,P2Enemy,69,11.65,-1,None,None,True
gzaZ5KmpHdRP,131,0,BulletMiss,P1,P1Enemy,69,11.65,-1,None,None,True
gzaZ5KmpHdRP,131,0,EnemyHit,P2,P2Enemy,70,11.65,-1,None,None,True
gzaZ5KmpHdRP,131,0,BulletMiss,P1,P1Enemy,70,11.65,-1,None,None,True
gzaZ5KmpHdRP,131,0,EnemyHit,P2,P2Enemy,70,11.65,-1,None,None,True
